id,userid,username,createdDate,conversationId,tweetText,retweet,reply,like,quotes,isRetweet,repliedToUserId,repliedToUsername,replyTweetId,toxicityScore,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
3439080943,7375009180,testUsername,2022-01-02 18:24:28,4291211507,some text of a tweet,0,0,1,0,False,7375009180,replyUsername,6402790526,0.010412407,5,93.26,50.0,1.0,25.77,5.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0,0.0,60.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0
2146399080,6857702410,testUsername,2022-01-02 17:11:09,4291211507,some text of a tweet,0,0,0,0,False,7375009180,replyUsername,4291211507,0.010412407,1,93.26,50.0,1.0,25.77,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
6402790526,7375009180,testUsername,2022-01-02 16:11:53,4291211507,some text of a tweet,2,1,3,0,False,7375009180,replyUsername,4291211507,0.067320265,36,93.26,39.05,1.79,25.77,9.0,36.11,50.0,33.33,5.56,0.0,0.0,0.0,0.0,0.0,0.0,5.56,2.78,13.89,11.11,0.0,0.0,0.0,11.11,5.56,5.56,0.0,11.11,2.78,5.56,2.78,2.78,0.0,2.78,0.0,2.78,0.0,0.0,0.0,0.0,8.33,0.0,2.78,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,5.56,0.0,0.0,2.78,8.33,0.0,2.78,0.0,2.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,0.0,2.78,0.0,0.0,0.0,27.78,11.11,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11
4199520348,1864158941,testUsername,2022-01-12 01:06:24,6558595543,some text of a tweet,0,0,1,0,False,1841686436,replyUsername,6558595543,0.5535644,36,69.3,50.0,11.8,1.0,18.0,19.44,77.78,50.0,19.44,8.33,2.78,0.0,2.78,0.0,2.78,11.11,8.33,11.11,11.11,0.0,2.78,0.0,19.44,0.0,0.0,2.78,0.0,2.78,5.56,0.0,5.56,0.0,5.56,0.0,5.56,0.0,0.0,0.0,0.0,11.11,2.78,0.0,8.33,2.78,0.0,2.78,0.0,0.0,0.0,0.0,2.78,2.78,0.0,0.0,0.0,5.56,0.0,0.0,2.78,2.78,0.0,0.0,11.11,0.0,13.89,5.56,8.33,0.0,0.0,0.0,0.0,2.78,0.0,0.0,2.78,2.78,0.0,0.0,0.0,0.0,19.44,2.78,0.0,0.0,0.0,2.78,0.0,5.56,0.0,2.78,0.0,5.56
2141118553,8775920007,testUsername,2022-01-11 17:02:40,6558595543,some text of a tweet,0,0,0,0,False,1841686436,replyUsername,6558595543,0.03736641,44,38.6,91.35,1.0,3.73,44.0,22.73,59.09,38.64,15.91,11.36,0.0,2.27,2.27,0.0,6.82,4.55,2.27,4.55,6.82,2.27,4.55,2.27,15.91,2.27,0.0,0.0,2.27,0.0,2.27,0.0,2.27,2.27,0.0,0.0,15.91,0.0,0.0,0.0,0.0,11.36,2.27,0.0,4.55,4.55,0.0,4.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.09,2.27,0.0,4.55,2.27,0.0,0.0,6.82,0.0,4.55,2.27,2.27,0.0,4.55,0.0,0.0,0.0,0.0,0.0,2.27,0.0,2.27,0.0,0.0,0.0,38.64,2.27,2.27,0.0,11.36,0.0,2.27,0.0,0.0,0.0,0.0,20.45
4557503061,3585968582,testUsername,2022-01-13 04:43:28,3856964558,some text of a tweet,0,0,0,0,False,1105456744,replyUsername,3856964558,0.0131890485,5,93.26,50.0,1.0,25.77,5.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0
3025435789,2057893001,testUsername,2022-01-13 01:37:53,3856964558,some text of a tweet,0,0,0,0,False,1105456744,replyUsername,3856964558,0.0028460578,5,93.26,50.0,1.0,25.77,5.0,80.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0
9615967871,5981882879,testUsername,2022-01-13 01:29:23,3856964558,some text of a tweet,0,0,0,0,False,1105456744,replyUsername,3856964558,0.057331093,21,55.4,31.71,13.15,95.81,21.0,33.33,76.19,47.62,4.76,4.76,0.0,0.0,0.0,0.0,4.76,0.0,0.0,14.29,4.76,9.52,9.52,4.76,9.52,4.76,0.0,0.0,0.0,0.0,4.76,4.76,0.0,0.0,0.0,0.0,9.52,0.0,0.0,0.0,0.0,19.05,0.0,9.52,0.0,0.0,0.0,9.52,0.0,0.0,0.0,0.0,4.76,4.76,0.0,0.0,0.0,9.52,0.0,0.0,9.52,0.0,0.0,0.0,4.76,0.0,4.76,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.52,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76
2042085969,2442244584,testUsername,2022-01-12 17:59:59,3856964558,some text of a tweet,0,0,0,0,False,1105456744,replyUsername,3856964558,0.050242316,6,93.26,50.0,1.0,1.0,6.0,50.0,50.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,0.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,16.67,0.0,0.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67
2620851043,2040942070,testUsername,2022-01-12 17:20:25,3856964558,some text of a tweet,0,0,0,0,False,1105456744,replyUsername,3856964558,0.012703137,45,93.26,81.29,1.0,1.0,22.5,28.89,64.44,28.89,6.67,4.44,0.0,0.0,0.0,0.0,4.44,2.22,2.22,13.33,8.89,0.0,0.0,0.0,11.11,4.44,2.22,0.0,2.22,2.22,4.44,0.0,4.44,0.0,0.0,2.22,8.89,0.0,0.0,0.0,0.0,13.33,2.22,2.22,2.22,2.22,4.44,0.0,2.22,0.0,2.22,0.0,0.0,0.0,0.0,0.0,0.0,8.89,0.0,2.22,8.89,0.0,0.0,0.0,6.67,0.0,4.44,0.0,4.44,0.0,8.89,0.0,0.0,6.67,0.0,0.0,2.22,0.0,2.22,0.0,0.0,0.0,26.67,6.67,4.44,0.0,0.0,0.0,0.0,2.22,0.0,2.22,0.0,11.11
4501851345,8200231227,testUsername,2022-01-12 16:51:58,3856964558,some text of a tweet,0,0,0,0,False,1105456744,replyUsername,3856964558,0.010412407,5,93.26,50.0,1.0,25.77,5.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0
5232244766,7035761560,testUsername,2022-01-12 16:51:53,3856964558,some text of a tweet,0,0,0,0,False,1105456744,replyUsername,3856964558,0.010412407,5,93.26,50.0,1.0,25.77,5.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0
8503987138,6327756954,testUsername,2022-01-12 16:51:44,3856964558,some text of a tweet,0,0,0,0,False,1105456744,replyUsername,3856964558,0.010412407,5,93.26,50.0,1.0,25.77,5.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0
3226532461,572311669,testUsername,2022-01-12 16:26:30,3856964558,some text of a tweet,0,0,0,0,False,1105456744,replyUsername,3856964558,0.0042343787,5,93.26,50.0,1.0,25.77,5.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0
6172629564,6736123480,testUsername,2022-01-12 16:05:51,3856964558,some text of a tweet,0,0,0,0,False,1105456744,replyUsername,3856964558,0.022945397,6,93.26,50.0,1.0,25.77,6.0,83.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.33
